Comment,Designator,Footprint,JLCPCB Part #
Blue,LED1,0603-LED,C72041
2N3904,Q1,SOT23,C20526
82R,R1,0603-RES,C23255
470R,R2,0603-RES,C23179
150k,R3,0603-RES,C22807
1k,R4,0603-RES,C21190
27k,R5,0603-RES,C22967
47R,R6,0603-RES,C23182
4k7,R7,0603-RES,C23162
47k,R8,0603-RES,C25819
240k,R9,0603-RES,C4197
39k,R10,0603-RES,C23153
LM317LCDR,U1,SO08,C105219
LM393M,U2,SO08,C7955
